PARK_SN,공원명,행정동,x,y,면적,공공시설_개수,노인및사회복지시설_개수,문화및집회시설_개수,영유아시설_개수,운동시설_개수,의료시설_개수,의원_개수,제1종근린생활시설_개수,제2종근린생활시설_개수,주거_개수,주차장_개수,치안안전시설_개수,판매및영업시설_개수,학군_개수,화장실_개수
1,,가양1동,126.8470684,37.57020004,1510,3,5,8,5,1,2,1,67,75,367,0,7,10,42,7
2,엄지공원,가양2동,126.8547353,37.5658069,1510,6,5,2,5,3,2,1,51,33,327,0,7,4,87,4
3,,가양2동,126.8545053,37.56364839,1561,6,5,12,5,4,5,0,83,88,482,0,8,10,89,5
4,,가양3동,126.8609789,37.56237484,1499,3,3,1,3,2,5,1,99,97,546,1,5,10,71,3
5,,가양3동,126.8574337,37.56231135,1611,6,5,6,5,2,5,1,94,101,610,1,8,11,79,3
6,활주로공원,공항동,126.8158018,37.55433677,2115,1,10,1,10,0,2,2,144,122,1490,2,3,49,19,2
8,개화공원,방화3동,126.8125436,37.58028038,1511,2,10,1,10,2,10,2,108,156,753,0,3,13,40,4
9,메아리공원,방화3동,126.8143788,37.5786105,1510,4,11,1,11,2,11,6,145,203,928,0,3,15,42,6
10,내촌공원,방화2동,126.8014076,37.57757051,1220,0,2,0,2,1,5,2,67,78,612,1,2,49,29,2
11,,방화3동,126.8189374,37.5751102,1499,4,12,2,12,2,9,7,178,245,1325,1,3,16,46,4
12,개나리공원,방화1동,126.8122606,37.573128,250,5,18,7,18,2,14,10,262,350,2543,1,5,40,75,5
13,쌈지공원,방화1동,126.8150886,37.5712336,3986,5,19,7,19,2,14,11,307,396,2960,1,4,19,70,4
14,아름공원,가양1동,126.8486934,37.56868207,1955,3,5,6,5,1,2,1,67,74,426,0,7,12,47,7
15,봉선화공원,방화2동,126.8070341,37.5665829,536,4,16,6,16,2,22,12,330,390,2962,3,5,50,54,1
16,,등촌3동,126.8485544,37.56323356,1593,6,6,14,6,5,5,1,122,143,584,0,9,12,86,6
17,새나라공원,등촌3동,126.8520374,37.56156638,1562,7,6,15,6,4,6,1,115,154,831,1,8,11,85,6
18,새벗공원,등촌3동,126.8403003,37.56070294,1565,4,8,20,8,4,5,2,126,137,609,2,8,11,45,4
20,푸르매공원,등촌3동,126.8475171,37.55905135,1537,6,8,19,8,4,8,1,164,217,1193,2,17,13,73,8
21,매화근린공원,등촌1동,126.8609475,37.5574598,1979,5,8,4,7,5,8,3,186,242,1378,2,7,13,89,3
22,등마루공원,등촌1동,126.8574126,37.55603774,970,11,12,15,12,3,11,3,206,279,1801,3,15,13,110,3
23,다솔공원,공항동,126.8183607,37.5545922,2491,2,11,2,11,0,2,2,140,109,1459,2,4,45,20,2
24,백석공원,등촌1동,126.8634913,37.55262153,993,10,20,3,20,5,8,7,252,415,2283,4,8,11,97,2
25,,화곡6동,126.8463765,37.55193986,977,6,19,17,19,6,16,3,213,280,2704,4,16,10,49,8
26,백연공원,화곡6동,126.8519301,37.55068804,1101,12,25,16,25,1,7,1,202,263,2992,3,14,6,78,7
27,개나리공원,우장산동,126.8440997,37.54839274,281,5,27,11,27,4,35,12,275,337,3966,10,13,6,43,8
28,소나무공원,화곡본동,126.8478491,37.54707412,942,4,32,5,32,3,25,10,208,266,3804,9,12,2,50,9
29,대원공원,화곡3동,126.8359264,37.54489362,277,5,17,7,19,3,32,15,295,447,3854,11,8,8,91,4
30,,우장산동,126.8415519,37.54312444,973,3,34,8,35,4,27,16,326,432,5403,13,6,8,43,7
31,노을공원,화곡본동,126.843955,37.53986425,1011,4,39,8,40,5,40,19,355,478,6248,12,6,11,40,6
32,,화곡8동,126.8475873,37.53809701,951,5,45,7,45,4,41,17,337,403,6387,11,5,4,87,8
33,,화곡1동,126.8384988,37.5379098,1977,5,29,11,32,5,39,23,386,872,6310,17,8,13,59,2
34,,등촌2동,126.862604,37.537185,276,9,28,6,37,0,16,13,272,589,4677,12,6,1,51,4
35,은행공원,화곡1동,126.8405344,37.5358154,1125,4,33,10,35,4,43,23,442,914,6983,22,7,10,34,2
36,월정공원,화곡1동,126.8360027,37.5351838,1180,7,32,9,31,2,24,17,378,987,6420,13,5,13,55,1
37,무지개공원,화곡4동,126.8613071,37.53397028,968,10,30,4,41,1,17,16,326,805,4590,12,4,4,77,3
38,필마공원,화곡1동,126.838811,37.53149912,1607,6,26,6,32,5,21,13,354,964,5655,17,4,9,40,1
39,달빛공원,화곡4동,126.8629451,37.53119812,973,8,30,4,44,1,17,14,314,909,4448,9,7,7,76,1
40,뜸부기공원,화곡2동,126.8569466,37.5301389,1003,8,35,3,44,3,28,22,399,1083,5798,13,5,4,72,1
41,곰돌이공원,화곡1동,126.8450191,37.52956702,1003,6,33,3,35,4,23,15,336,900,5865,11,3,9,81,2
42,이수공원,염창동,126.8742543,37.54821303,1796,5,14,3,16,3,8,8,162,409,2262,6,2,4,45,8
45,느티공원,방화3동,126.810313,37.5793877,1512,2,10,1,10,2,10,2,131,178,950,0,5,17,47,4
46,능말공원,방화3동,126.8106074,37.57797241,1520,2,13,1,13,2,10,6,154,224,1215,0,5,17,47,5
47,돌샘공원,방화3동,126.8189336,37.57608273,1499,4,9,2,9,2,8,6,155,219,1150,0,3,16,47,4
49,샛별공원,방화2동,126.8094972,37.57271237,279,5,17,6,17,2,14,10,266,362,2583,1,5,51,76,4
50,,방화2동,126.806501,37.57051537,3823,4,14,5,14,2,20,10,293,372,2521,0,3,51,60,3
51,민들레공원,방화2동,126.8067472,37.56725908,582,5,18,6,18,2,22,12,336,401,2879,3,5,50,54,1
53,채송화공원,등촌3동,126.8460549,37.56276232,1544,6,9,14,9,4,5,1,129,147,590,1,9,13,68,6
54,한마음공원,등촌3동,126.8431137,37.56066503,1791,4,7,16,7,4,6,2,130,148,707,1,8,12,65,5
56,,공항동,126.8138334,37.55669215,1661,1,12,3,12,0,11,5,233,215,2145,1,4,56,19,2
57,,등촌1동,126.8628871,37.55560257,1033,10,15,1,14,4,6,4,213,327,1626,3,6,11,116,2
58,,발산1동,126.8331793,37.55220872,913,3,13,8,13,2,11,5,120,152,1398,6,3,13,66,3
59,백합공원,염창동,126.8694575,37.55114971,939,9,21,4,22,4,11,9,228,469,2558,7,5,7,73,3
60,,화곡6동,126.8487998,37.54967459,980,6,22,15,22,2,20,5,202,250,3161,5,12,4,59,8
61,미리내공원,화곡3동,126.8347656,37.54768702,967,4,16,8,17,3,26,11,234,303,2747,9,5,8,89,6
62,,등촌2동,126.8600575,37.54648961,855,10,31,5,31,1,3,7,195,443,3319,9,6,4,90,5
63,,화곡3동,126.8347763,37.54457522,976,7,17,9,19,3,31,15,300,468,3741,11,9,9,78,3
64,비둘기공원,화곡본동,126.8469812,37.54136968,1102,4,39,8,39,3,30,16,280,313,5635,9,4,7,50,7
65,박장공원,화곡본동,126.8490957,37.54073799,930,3,44,5,44,2,28,13,243,285,5543,9,4,6,78,8
66,한글공원,화곡본동,126.8505117,37.53852249,983,4,47,5,47,2,34,15,278,331,5998,9,4,4,80,9
67,초롱공원,화곡1동,126.8362379,37.53808925,945,7,31,10,30,4,33,21,376,915,6010,16,5,10,59,2
68,능골공원,화곡4동,126.8553194,37.53674317,996,5,45,4,49,0,26,17,345,481,5588,13,2,5,69,6
69,,화곡8동,126.850866,37.53578865,2370,6,50,5,49,0,27,15,353,396,6240,16,1,5,75,7
70,종달새공원,화곡4동,126.8580449,37.53533317,984,9,38,5,46,1,19,19,345,707,5455,14,3,3,70,5
71,더부리공원,화곡8동,126.8467661,37.53487113,1261,5,47,6,46,2,39,16,402,579,6483,12,2,8,90,6
72,,화곡2동,126.8560954,37.53325019,983,8,41,5,49,1,29,19,402,791,5860,14,3,6,72,4
73,다운공원,화곡1동,126.8446716,37.53208106,1285,6,36,6,37,2,23,12,367,817,6512,12,1,9,75,2
74,,화곡4동,126.8593594,37.53120994,990,8,33,4,43,3,17,14,353,918,5482,10,5,4,84,2
75,버들공원,화곡1동,126.8412458,37.53110898,1085,5,29,6,33,5,21,14,357,958,5826,14,3,9,48,1
76,,화곡2동,126.8536492,37.53000629,1028,9,40,2,44,3,30,24,425,986,6135,13,6,7,69,2
77,,화곡1동,126.8406925,37.52952507,1047,6,30,6,34,5,21,14,336,989,5199,16,3,10,48,1
78,천사공원,화곡3동,126.833003,37.54690386,2393,5,15,7,17,3,22,10,209,347,2812,9,6,9,85,1
79,,가양3동,126.862962,37.55949845,1622,4,2,1,2,3,5,1,148,143,830,1,6,13,78,3
80,,방화2동,126.8094302,37.56972773,4790,4,17,6,17,2,22,12,331,426,2888,1,5,51,74,4
81,소공원,화곡2동,126.8514934,37.53404631,661,6,49,5,51,0,22,13,359,491,6525,12,1,5,67,5
82,배다리공원,화곡8동,126.8483209,37.53211091,1630,6,43,4,43,4,25,16,384,675,6499,12,2,5,69,3
84,,방화1동,126.8185954,37.56298051,1305,3,17,8,17,1,14,10,327,337,3312,4,5,21,26,3
85,가양어린이공원,가양1동,126.8448043,37.56979722,1499,3,6,13,6,1,1,1,69,83,372,0,7,10,42,7
87,연지공원,화곡6동,126.8532769,37.5546971,640,11,18,16,18,3,9,1,198,263,2231,3,15,14,104,5
88,부석공원,방화2동,126.7988786,37.58289481,1137,0,0,0,0,0,0,0,24,23,406,1,2,11,1,2
91,,발산1동,126.8287265,37.55391847,3997,2,10,7,10,1,10,3,102,128,1105,6,4,21,68,1
95,,발산1동,126.8232896,37.55215849,1763,3,9,2,9,0,0,0,79,90,1063,1,2,28,50,2
96,문화공원,가양1동,126.8463158,37.56621671,3751,5,7,10,7,4,3,1,104,129,489,0,9,17,66,7
97,,염창동,126.8738629,37.55172685,258,3,11,2,11,4,9,8,181,379,1545,6,2,4,39,6
99,송정공원,공항동,126.8112897,37.56066848,406,2,16,6,16,1,14,6,308,330,3249,3,4,39,34,2
101,볏골공원,화곡본동,126.8443886,37.54147812,4262,3,37,8,38,4,33,17,321,386,5894,10,5,8,33,6
102,,우장산동,126.8377636,37.55597097,2746,6,9,13,9,3,11,3,146,163,1228,5,3,10,46,7
104,,우장산동,126.8387004,37.54872336,2436,6,16,7,16,4,34,14,264,284,3282,9,7,8,88,7
105,,방화1동,126.8212169,37.57061046,694,3,11,5,11,0,10,7,181,253,1717,2,1,15,32,2
108,,등촌2동,126.858255,37.54947322,1535,10,25,5,23,2,9,4,253,445,3053,5,16,10,68,2
109,,우장산동,126.8400265,37.55614874,1499,7,10,19,10,3,12,3,156,187,1423,5,4,10,49,6
113,,우장산동,126.8386755,37.55020091,2437,5,16,7,16,5,29,9,236,263,2803,6,7,10,71,7
116,,우장산동,126.8369568,37.54617178,4493,5,17,8,19,4,34,15,298,377,3650,10,7,7,95,7
117,,화곡3동,126.830088,37.54424651,822,5,11,7,15,1,13,12,200,426,2762,7,5,9,85,1
119,,우장산동,126.8405008,37.54517454,3464,3,28,8,29,3,32,15,312,381,4782,12,6,9,57,9
120,,화곡본동,126.844148,37.53787703,4433,4,39,7,40,5,43,24,394,624,6594,15,7,9,75,6
121,,가양1동,126.8249198,37.57066049,1510,2,6,15,6,0,1,1,68,97,689,2,1,7,24,2
122,,방화1동,126.822047,37.56754901,1922,3,8,7,8,0,6,8,167,218,1725,2,1,4,18,2
124,소공원,가양1동,126.8229495,37.57098615,991,3,9,7,9,0,3,5,133,177,1200,2,1,9,32,2
127,,발산1동,126.8283161,37.55026212,1649,3,13,5,13,1,10,2,101,143,1281,4,4,20,71,1
131,백합공원,등촌3동,126.8450055,37.5592506,1546,5,7,19,7,4,10,2,157,208,1005,2,12,13,61,8
132,,화곡3동,126.8344455,37.54084069,984,6,15,11,19,4,31,21,330,715,4583,11,5,11,71,2
133,모태공원,화곡8동,126.8495293,37.52949857,994,8,38,1,40,2,21,17,366,898,6165,11,5,5,64,3
134,,등촌1동,126.854621,37.55916261,879,7,9,15,9,3,8,1,147,203,1141,2,16,13,103,3
135,호돌이공원,화곡1동,126.846044,37.52822905,810,8,32,2,37,4,22,14,323,955,5675,12,4,5,76,2
137,나들이공원,가양1동,126.8442578,37.57183063,1499,2,3,13,3,1,1,1,57,72,294,0,7,10,38,6
138,,가양2동,126.8527209,37.56468208,1499,6,5,11,5,4,3,1,77,77,449,0,7,5,84,4
